invoice_id,city,product_category,unit_price,quantity,customer_type,payment,total
1,Dakar,Food,97.27,13,Normal,Cash,1264.51
2,Lagos,Cosmetics,18.48,13,Member,Card,240.24
3,Abidjan,Food,41.77,6,Normal,Cash,250.62
4,Nairobi,Beverage,103.89,12,Normal,Card,1246.68
5,Lagos,Beverage,19.44,10,Normal,Mobile,194.4
6,Nairobi,Clothing,10.85,14,Member,Mobile,151.9
7,Dakar,Clothing,58.66,9,Member,Cash,527.94
8,Nairobi,Beverage,36.99,7,Normal,Card,258.93
9,Abidjan,Cosmetics,68.05,10,Member,Card,680.5
10,Abidjan,Food,96.65,5,Member,Cash,483.25
11,Dakar,Electronics,17.32,8,Normal,Card,138.56
12,Abidjan,Clothing,70.1,2,Member,Cash,140.2
13,Abidjan,Electronics,61.16,7,Member,Card,428.12
14,Lagos,Cosmetics,18.15,4,Member,Cash,72.6
15,Nairobi,Clothing,75.26,9,Normal,Card,677.34
16,Dakar,Electronics,33.56,12,Normal,Cash,402.72
17,Dakar,Cosmetics,59.05,1,Normal,Card,59.05
18,Dakar,Food,10.79,7,Member,Mobile,75.53
19,Dakar,Cosmetics,55.69,6,Normal,Card,334.14
20,Dakar,Clothing,37.47,8,Member,Cash,299.76
21,Abidjan,Beverage,98.86,5,Member,Mobile,494.3
22,Lagos,Food,7.78,1,Member,Card,7.78
23,Dakar,Electronics,50.81,1,Normal,Mobile,50.81
24,Lagos,Clothing,55.55,9,Normal,Card,499.95
25,Lagos,Beverage,87.28,10,Normal,Mobile,872.8
26,Abidjan,Cosmetics,69.34,6,Normal,Cash,416.04
27,Dakar,Beverage,80.4,10,Member,Card,804.0
28,Abidjan,Clothing,93.47,5,Normal,Card,467.35
29,Dakar,Clothing,103.6,1,Member,Cash,103.6
30,Abidjan,Beverage,38.35,6,Normal,Mobile,230.1
31,Lagos,Cosmetics,65.02,6,Normal,Cash,390.12
32,Dakar,Beverage,100.97,3,Normal,Cash,302.91
33,Nairobi,Clothing,118.74,13,Member,Mobile,1543.62
34,Lagos,Clothing,106.85,8,Member,Cash,854.8
35,Nairobi,Electronics,45.2,14,Member,Card,632.8
36,Lagos,Electronics,24.22,1,Member,Card,24.22
37,Abidjan,Food,59.24,1,Member,Card,59.24
38,Dakar,Clothing,89.26,6,Normal,Cash,535.56
39,Lagos,Electronics,59.62,10,Member,Card,596.2
