trip_id,pickup_zone,dropoff_zone,distance_km,duration_min,fare_amount,tip_amount,passenger_count,payment_type
1,Brooklyn,Downtown,23.15,52.3,77.89,1.08,1,cash
2,Brooklyn,Harlem,12.69,37.3,30.52,10.24,1,card
3,Airport,Airport,15.55,33.4,41.67,3.63,3,card
4,Harlem,Downtown,19.36,52.4,20.51,10.71,3,cash
5,Midtown,Harlem,5.2,54.8,51.2,12.34,4,cash
6,Harlem,Downtown,13.06,15.3,26.77,12.06,3,cash
7,Airport,Downtown,10.57,44.7,21.32,8.29,4,card
8,Airport,Airport,4.51,13.8,44.23,7.8,3,cash
9,Airport,Brooklyn,9.82,53.8,6.41,2.14,1,card
10,Downtown,Brooklyn,2.64,47.7,6.57,11.63,4,cash
11,Harlem,Downtown,1.62,67.2,22.21,4.07,2,cash
12,Harlem,Midtown,4.24,9.5,8.72,7.45,1,cash
13,Brooklyn,Harlem,24.11,8.7,13.99,4.26,4,card
14,Brooklyn,Midtown,14.19,23.3,31.08,2.01,4,cash
15,Brooklyn,Midtown,24.18,22.0,65.39,9.44,2,cash
16,Airport,Downtown,11.38,21.1,48.33,0.81,4,card
17,Harlem,Downtown,8.48,63.9,43.94,11.23,3,card
18,Airport,Downtown,13.15,21.2,27.72,4.76,2,cash
19,Downtown,Downtown,11.55,22.7,74.95,0.0,1,cash
20,Brooklyn,Brooklyn,3.54,54.4,35.38,7.67,1,cash
21,Airport,Downtown,16.38,34.2,12.44,0.7,3,card
22,Airport,Brooklyn,6.18,55.5,51.66,4.14,1,card
23,Downtown,Brooklyn,15.87,9.2,14.42,10.6,4,card
24,Midtown,Downtown,16.6,36.7,31.55,0.94,4,card
25,Harlem,Airport,4.65,7.2,43.55,12.59,3,cash
26,Midtown,Harlem,2.47,9.1,70.69,0.06,1,card
27,Brooklyn,Midtown,19.74,63.9,42.52,3.7,1,card
28,Airport,Brooklyn,12.04,14.1,57.97,11.11,3,card
29,Downtown,Harlem,2.4,39.6,79.47,4.74,2,cash
30,Downtown,Airport,24.88,31.7,15.73,1.53,1,cash
31,Harlem,Midtown,2.39,27.6,26.33,5.4,2,card
32,Midtown,Midtown,17.68,63.5,35.2,4.06,1,card
33,Harlem,Brooklyn,24.61,6.4,37.22,12.64,1,cash
34,Airport,Downtown,6.74,48.1,36.42,4.7,1,cash
35,Harlem,Airport,4.41,67.6,73.16,11.83,1,cash
36,Downtown,Brooklyn,3.91,41.4,58.84,13.38,4,cash
37,Downtown,Airport,8.28,65.9,50.98,6.51,2,cash
38,Brooklyn,Downtown,3.43,8.4,28.89,13.65,2,cash
39,Brooklyn,Downtown,17.61,32.2,66.96,5.66,1,cash
40,Airport,Brooklyn,2.5,21.9,76.67,14.46,1,cash
41,Midtown,Downtown,13.23,52.5,66.77,1.34,2,card
42,Harlem,Harlem,24.92,68.8,6.12,10.31,4,card
43,Airport,Midtown,20.54,21.7,53.09,7.41,3,card
44,Brooklyn,Brooklyn,15.77,47.5,9.78,5.81,3,card
45,Harlem,Airport,8.35,17.9,25.06,9.49,2,card
46,Brooklyn,Harlem,15.97,41.7,10.4,10.56,1,card
47,Harlem,Brooklyn,13.65,35.2,50.68,0.07,1,cash
48,Midtown,Downtown,11.23,68.2,56.81,2.5,4,cash
49,Airport,Downtown,4.14,44.6,14.47,10.7,3,card
50,Harlem,Downtown,22.28,27.7,34.4,10.0,4,card
51,Downtown,Downtown,11.79,12.4,39.76,14.49,3,cash
52,Downtown,Airport,5.67,14.8,180.0,11.42,2,cash
53,Harlem,Harlem,9.83,19.6,14.96,14.26,3,cash
54,Harlem,Midtown,10.94,21.3,37.0,10.54,4,card
55,Harlem,Airport,20.86,60.3,61.59,4.47,4,cash
56,Downtown,Airport,18.61,41.5,11.25,1.58,4,card
57,Downtown,Midtown,19.46,39.0,11.93,11.73,2,card
58,Harlem,Midtown,1.26,12.5,32.25,9.66,3,cash
59,Brooklyn,Downtown,10.99,60.9,75.69,0.72,3,cash
60,Brooklyn,Airport,12.55,52.0,55.47,5.4,4,card
61,Midtown,Brooklyn,1.46,9.4,150.0,14.35,3,cash
